pdbid,dna,U,protein,duplex
1EJ9,"[23, 23]",[],[563],False
1EMH,[10],[9],[223],False
1EMJ,[10],[],"[9, 223]",False
1EO3,[11],[],[245],False
1EO4,[11],[],[245],False
1EON,"[11, 11]",[],[245],False
1EOO,[12],[],[245],True
1EOP,[12],[],[245],False
1EQZ,[146],[],"[129, 126, 136, 103]",True
1ERI,[13],[],[276],False
1ESG,"[8, 8]",[],[213],True
1EWN,"[12, 12]",[],[219],False
1EWQ,"[23, 22]",[],[765],False
1EXI,[21],[],[278],False
1EXJ,[21],[],[278],False
1EYG,[35],[],[116],False
1EYU,[13],[],[157],False
1F0O,[13],[],[157],False
1F0V,[2],[],[124],True
1F2I,[14],[],[73],True
1F44,"[16, 19]",[],[324],False
1F4K,"[21, 21]",[],[122],True
1F4R,"[13, 13]",[],[219],False
1F4S,"[10, 10]",[],[65],True
1F5E,"[10, 10]",[],[65],True
1F5T,"[43, 43]",[],[121],False
1F66,[146],[],"[136, 103, 128, 126]",True
1F6O,[13],[],"[13, 219]",False
1FIU,"[4, 7]",[],[286],False
1FJA,[8],[],[11],True
1FJX,[13],[],[327],False
1FLO,"[13, 20]",[],[422],False
1FN7,[15],[],"[15, 317]",False
1FOK,"[20, 20]",[],[576],False
1FOS,"[20, 20]",[],"[62, 62]",False
1FW6,"[23, 22]",[],[768],False
1FYK,[],[],"[4, 92]",False
1FYL,[],[12],[92],False
1FYM,[12],[],[92],True
1G2D,"[16, 16]",[],[90],False
1G2F,"[16, 16]",[],[90],False
1G38,"[10, 10]",[],[393],True
1G3X,[12],[],[5],True
1G4D,"[16, 16]",[],[69],True
1G9Y,"[24, 24]",[],[152],True
1GA5,[20],[20],[94],False
1GAT,"[8, 8]",[],[60],True
1GAU,"[8, 8]",[],[60],True
1GCC,"[11, 11]",[],[63],True
1GD2,[13],[],[70],False
1GJI,"[20, 20]",[],[275],True
1GLU,[19],[],[81],False
1GT0,"[24, 24]",[],"[159, 80]",False
1GTW,"[16, 16]",[],[78],False
1GU4,"[16, 16]",[],[78],False
1GU5,"[16, 16]",[],[78],False
1GXP,"[23, 23]",[],[106],False
1H0M,[18],[],[234],True
1H6F,[24],[],[193],False
1H88,"[26, 26]",[],"[78, 159]",False
1H89,"[26, 26]",[],"[64, 159]",False
1H8A,"[26, 26]",[],"[78, 128]",False
1H9D,"[10, 10]",[],"[134, 134]",True
1H9T,"[19, 19]",[],[243],True
1HAO,[15],[],"[259, 36]",False
1HAP,[15],[],"[36, 259]",False
1HBX,"[26, 26]",[],"[92, 157]",False
1HCQ,"[18, 18]",[],[84],False
1HCR,"[14, 13]",[],[52],False
1HDD,"[21, 21]",[],[61],False
1HF0,"[22, 22]",[],[159],True
1HHT,[5],[],[664],False
1HI0,[5],[],[664],False
1HJB,"[26, 26]",[],"[87, 123]",False
1HJC,"[16, 16]",[],[123],False
1HLO,"[11, 11]",[],[80],True
1HLV,"[21, 21]",[],[131],True
1HLZ,"[20, 20]",[],[94],True
1HRY,"[8, 8]",[],[76],True
1HRZ,"[8, 8]",[],[76],True
1HU0,[15],[],"[324, 15]",False
1HUO,"[11, 7]",[],[335],False
1HUT,[15],[],"[36, 259]",False
1HUZ,"[8, 11]",[],[335],False
1HVN,[5],[],[18],False
1HVO,[5],[],[18],False
1HW2,"[22, 22]",[],[239],False
1HWT,"[20, 20]",[],[81],True
1I3J,"[21, 21]",[],[116],False
1I3W,[],[10],[11],False
1I6J,"[6, 10]",[],[256],False
1I7D,[8],[],[659],False
1I8M,"[5, 2]",[],"[214, 224]",False
1IAW,[17],[],[317],False
1IC8,"[21, 21]",[],[194],True
1ID3,[146],[],"[135, 102, 130, 131]",True
1IF1,[26],[],[113],True
1IG4,[12],[],[75],True
1IG7,"[13, 16]",[],[58],False
1IG9,"[18, 14]",[],[903],False
1IGN,"[19, 19]",[],[246],False
1IJS,"[9, 2]",[],[584],False
1IJW,"[14, 14]",[],[52],False
1IMH,"[15, 15]",[],[281],False
1IO4,"[26, 26]",[],"[78, 123, 141]",False
1IPP,[21],[],[163],False
1IU3,"[10, 10]",[],[116],True
1IV6,"[13, 13]",[],[70],True
1IXY,[13],[],"[13, 351]",False
1J1V,"[13, 13]",[],[94],True
1J3E,"[10, 10]",[],[115],False
1J46,"[14, 14]",[],[85],True
1J47,"[14, 14]",[],[85],True
1J4W,[29],[],[174],False
1J59,"[14, 17]",[],[209],False
1J5K,[10],[],[89],False
1J5N,"[15, 15]",[],[93],True
1J5O,"[19, 18]",[],"[558, 430, 214, 220]",False
1J75,[7],[],[67],False
1J9N,"[6, 6]",[],[6],True
1JB7,[12],[],"[495, 260]",False
1JE8,[20],[],[82],True
1JEY,"[21, 34]",[],"[609, 565]",False
1JFI,"[19, 19]",[],"[98, 179, 185]",True
1JFS,[17],[],[340],False
1JFT,[17],[],[340],False
1JGG,"[10, 10]",[],[60],True
1JH9,[17],[],[340],False
1JJ4,[16],[],[83],True
1JJ6,[14],[14],[52],False
1JJ8,[14],[14],[52],False
1JK1,"[11, 11]",[],[90],False
1JK2,"[11, 11]",[],[90],False
1JKO,"[14, 14]",[],[52],False
1JKP,"[14, 14]",[],[52],False
1JKQ,"[14, 14]",[],[52],False
1JKR,"[14, 14]",[],[52],False
1JMC,[8],[],[246],False
1JNM,[20],[],[62],True
1JT0,[28],[],[194],True
1JWL,"[23, 23]",[],[333],False
1JX4,"[13, 18]",[],[352],False
1JXL,[12],[16],[352],False
1K3W,[13],[],"[262, 13]",False
1K3X,[],[13],"[13, 262]",False
1K61,[21],[21],[60],False
1K6O,"[23, 23]",[],"[93, 103]",True
1K78,"[27, 27]",[],"[149, 110]",False
1K79,"[15, 15]",[],[110],False
1K7A,"[15, 15]",[],[110],False
1K82,[13],[],"[13, 268]",False
1K8G,[6],[],[320],False
1KB2,"[18, 18]",[],[110],True
1KB4,"[18, 18]",[],[110],True
1KB6,"[18, 18]",[],[110],True
1KBU,"[34, 34]",[],[349],True
1KC6,[12],[],[257],True
1KDH,[],[4],[363],True
1KEG,[4],[],"[216, 220]",False
1KFS,[7],[],[605],False
1KFV,[13],[],"[13, 271]",False
1KIX,[8],[],[495],False
1KLN,"[13, 10]",[],[605],False
1KQQ,"[15, 15]",[],[139],True
1KRP,[3],[],[605],False
1KSP,[3],[],[605],False
1KSX,[21],[],[148],False
1KSY,"[21, 21]",[],[154],True
1KU7,"[11, 11]",[],[73],False
1KX3,[146],[],"[135, 102, 128, 125]",True
1KX4,[146],[],"[135, 102, 128, 125]",True
1KX5,"[147, 147]",[],"[102, 135, 128, 125]",True
1L1M,"[23, 23]",[],[62],True
1L1T,[16],[],"[16, 274]",False
1L1V,[9],[],[11],False
1L1Z,[16],[],"[16, 274]",False
1L2C,[16],[],"[16, 274]",False
1L2D,[16],[],"[16, 274]",False
1L3L,[20],[],[234],True
1L3S,"[9, 16]",[],[580],False
1L3T,"[10, 16]",[],[580],False
1L3U,"[11, 16]",[],[580],False
1L3V,"[15, 16]",[],[580],False
1L5U,"[12, 16]",[],[580],False
1L9Z,"[35, 30]",[],"[314, 1118, 1524, 99, 438]",False
1LAT,[19],[],[82],False
1LAU,[3],[],[244],False
1LB2,"[20, 24]",[],"[209, 84]",False
1LBG,[21],[],[360],False
1LCC,"[11, 11]",[],[51],True
1LCD,"[11, 11]",[],[51],True
1LE5,"[12, 12]",[],"[274, 313]",False
1LE8,"[20, 20]",[],"[53, 83]",False
1LE9,"[12, 12]",[],"[274, 313]",False
1LEI,[17],[17],"[274, 313]",False
1LFU,"[14, 14]",[],[82],True
1LLI,"[20, 20]",[],[92],False
1LLM,[13],[],[88],False
1LMB,"[20, 20]",[],[92],False
1LO1,"[13, 13]",[],[98],True
1LPQ,"[22, 22]",[],[564],True
1LQ1,"[16, 16]",[],[120],False
1LRR,"[12, 12]",[],[131],True
1LV5,"[10, 14]",[],[580],False
1LWS,"[37, 37]",[],[454],False
1LWT,"[37, 37]",[],[454],False
1LWV,[15],[],"[15, 324]",False
1LWW,[15],[],"[15, 324]",False
1LWY,[15],[],"[15, 324]",False
1M06,[],[],"[431, 187, 24, 10]",False
1M07,[4],[],[111],False
1M0E,"[12, 12]",[],[327],True
1M18,[146],[],"[102, 129, 125, 135]",True
1M19,[146],[],"[135, 102, 129, 125]",True
1M1A,[146],[],"[135, 102, 129, 125]",True
1M3Q,[15],[],"[15, 317]",False
1M5R,[13],[],"[13, 351]",False
1M5X,"[24, 24]",[],[170],True
1MA7,"[34, 34]",[],[349],True
1MDM,"[26, 26]",[],"[149, 161]",False
1MDY,[14],[],"[68, 62]",True
1MEY,"[13, 13]",[],[87],False
1MHD,"[13, 14]",[],[132],False
1MHT,"[12, 13]",[],[327],False
1MJ2,[19],[],[104],False
1MJE,[6],[],"[70, 649]",False
1MJM,[10],[],[104],True
1MJO,[19],[],[104],False
1MJP,"[10, 9]",[],[104],False
1MJQ,[19],[],[104],False
1MM8,"[20, 20]",[],[481],True
1MNM,"[26, 26]",[],"[100, 87]",False
1MNN,"[14, 14]",[],[340],False
1MNV,[9],[],[11],False
1MOW,"[23, 23]",[],[260],True
1MSE,"[16, 16]",[],[105],True
1MSF,"[16, 16]",[],[105],True
1MTL,[],[],"[12, 168]",True
1MUH,"[20, 20]",[],[481],True
1MUS,"[20, 20]",[],[477],True
1MW8,[11],[],[592],False
1MWI,[],[],"[12, 168]",False
1MWJ,[],[12],[168],False
1N39,[15],[],"[15, 317]",False
1N3A,[15],[],"[15, 317]",False
1N3C,"[15, 15]",[],[317],True
1N3E,"[14, 10]",[],[163],False
1N3F,"[14, 10]",[],[163],False
1N48,[13],[],"[16, 352]",False
1N4L,"[16, 16]",[],[255],True
1N56,[14],[],"[17, 352]",False
1N5Y,"[27, 21]",[],"[558, 430, 211, 225]",False
1N6J,"[14, 14]",[],"[93, 35]",True
1N6Q,"[27, 22]",[],"[558, 430, 211, 225]",False
1NFK,[11],[],[325],False
1NG9,"[30, 30]",[],[800],False
1NGM,"[19, 19]",[],"[180, 72]",True
1NH2,[16],[16],"[180, 53, 79, 121]",False
1NJW,"[11, 15]",[],[580],False
1NJX,"[11, 15]",[],[580],False
1NJY,"[11, 16]",[],[580],False
1NJZ,"[10, 16]",[],[580],False
1NK0,"[11, 15]",[],[580],False
1NK2,"[16, 16]",[],[77],True
1NK3,"[16, 16]",[],[77],True
1NK4,"[9, 16]",[],[580],False
1NK5,"[15, 16]",[],[580],False
1NK6,"[9, 15]",[],[580],False
1NK7,"[10, 15]",[],[580],False
1NK8,"[11, 15]",[],[580],False
1NK9,"[12, 15]",[],[580],False
1NKB,"[13, 15]",[],[580],False
1NKC,"[15, 15]",[],[580],False
1NKE,"[11, 16]",[],[580],False
1NKP,[19],[],"[88, 83]",False
1NLW,[18],[],"[80, 76]",True
1NNE,"[23, 22]",[],[765],False
1NNJ,[14],[],"[14, 271]",False
1NOP,[6],[],"[485, 8]",False
1NOY,[3],[],[388],False
1NVP,"[17, 17]",[],"[181, 57, 76, 108]",True
1NWQ,"[21, 21]",[],[62],False
1NZB,[37],[37],[343],False
1O3Q,"[11, 15]",[],[200],False
1O3R,"[11, 15]",[],[200],False
1O3S,"[11, 15]",[],[200],False
1O3T,"[14, 17]",[],[200],False
1O4X,"[19, 19]",[],"[167, 88]",True
1OCT,"[15, 15]",[],[156],False
1ODG,[12],[],[134],False
1ODH,"[13, 13]",[],[174],True
1OE4,[12],[],"[247, 12]",False
1OE5,[12],[],"[247, 13]",False
1OE6,[12],[],"[247, 12]",False
1OH5,"[30, 30]",[],[800],False
1OH6,"[30, 30]",[],[800],False
1OH7,"[30, 30]",[],[800],False
1OH8,"[30, 31]",[],[800],False
1OJ8,[4],[],[105],False
1OMH,[25],[],[293],False
1ORN,[11],[],"[11, 226]",False
1ORP,[11],[],"[11, 226]",False
1OSB,[25],[],[293],False
1OSL,[18],[],[62],True
1OTC,[12],[],"[495, 260]",False
1OVF,[11],[],[11],False
1OWR,"[15, 15]",[],[284],False
1OZJ,"[15, 15]",[],[144],True
1P34,[146],[],"[135, 102, 129, 125]",True
1P3A,[146],[],"[135, 102, 129, 125]",True
1P3B,[146],[],"[135, 102, 129, 125]",True
1P3F,[146],[],"[135, 102, 129, 125]",True
1P3G,[146],[],"[135, 102, 129, 125]",True
1P3I,[146],[],"[135, 129, 102, 125]",True
1P3K,[146],[],"[102, 129, 135, 125]",True
1P3L,[146],[],"[135, 102, 129, 125]",True
1P3M,[146],[],"[135, 102, 129, 125]",True
1P3O,[146],[],"[135, 102, 129, 125]",True
1P3P,[146],[],"[125, 135, 102, 129]",True
1P47,"[22, 22]",[],[87],False
1P51,[19],[],[94],False
1P59,[],"[11, 11]",[226],False
1P5W,[],[],"[11, 548]",False
1P71,[21],[],[94],False
1P78,[21],[],[94],False
1P7D,"[13, 26]",[],[283],False
1P7H,"[15, 15]",[],[286],False
1PA6,"[12, 12]",[],"[460, 216]",False
1PAR,"[22, 22]",[],[53],False
1PDN,"[15, 15]",[],[128],False
1PER,"[20, 20]",[],[69],False
1PFE,[8],[],[8],True
1PFI,[1],[],[46],False
1PGZ,[],[],"[12, 195]",False
1PH1,[13],[],"[461, 217]",False
1PH2,"[13, 9]",[],"[459, 216]",False
1PH3,"[13, 12]",[],"[460, 216]",False
1PH4,"[13, 12]",[],"[460, 216]",False
1PH5,[13],[],"[11, 459, 216]",False
1PH6,"[13, 11]",[],"[461, 217]",False
1PH7,[13],[],"[11, 460, 216]",False
1PH8,"[13, 12]",[],"[460, 216]",False
1PH9,"[13, 12]",[],"[460, 216]",False
1PHJ,[13],[],"[12, 461, 216]",False
1PJI,[14],[],"[14, 271]",False
1PJJ,[14],[],"[14, 271]",False
1PM5,[14],[],"[14, 271]",False
1PNR,[17],[],[340],False
1PO6,[],[],"[11, 183]",False
1PP7,"[13, 13]",[],[131],False
1PP8,"[12, 12]",[],[132],False
1PT3,[8],[],[128],True
1PUE,"[16, 16]",[],[89],False
1PUF,"[20, 20]",[],"[77, 73]",False
1PV4,[2],[],[419],False
1PVI,[13],[],[157],False
1PVP,"[34, 34]",[],[349],True
1PVQ,"[34, 34]",[],[349],True
1PVR,"[34, 34]",[],[349],True
1PYI,[14],[],[96],True
1PZU,"[14, 14]",[],[301],False
1Q0T,[12],[],[259],True
1Q3F,[10],[],"[9, 223]",False
1Q3U,[37],[37],[347],False
1Q9X,"[18, 13]",[],[903],False
1Q9Y,"[18, 14]",[],[906],False
1QAI,[8],[],[265],True
1QAJ,[8],[],[259],True
1QBJ,[7],[],[81],False
1QN3,"[14, 14]",[],[200],True
1QN4,"[14, 14]",[],[200],True
1QN5,"[14, 14]",[],[200],True
1QN6,"[14, 14]",[],[200],True
1QN7,"[14, 14]",[],[200],True
1QN8,"[14, 14]",[],[200],True
1QN9,"[14, 14]",[],[200],True
1QNA,"[14, 14]",[],[200],True
1QNB,"[14, 14]",[],[200],True
1QNC,"[14, 14]",[],[200],True
1QNE,"[14, 14]",[],[200],True
1QP0,[17],[],[340],False
1QP4,[17],[],[340],False
1QP7,[17],[],[340],False
1QP9,"[20, 20]",[],[76],True
1QPI,"[15, 15]",[],[203],True
1QPS,"[5, 8]",[],[261],False
1QPZ,[17],[],[340],False
1QQA,[17],[],[340],False
1QQB,[17],[],[340],False
1QRH,[13],[],[261],False
1QRI,[13],[],[261],False
1QRV,[10],[],[73],True
1QSL,[8],[],[605],False
1QSS,"[14, 12]",[],[539],False
1QSY,"[12, 14]",[],[539],False
1QTM,"[12, 14]",[],[539],False
1QX0,[25],[],[293],False
1QZG,[5],[],[187],False
1QZH,[6],[],[187],False
1R0A,"[27, 21]",[],"[558, 429, 211, 225]",False
1R0N,"[18, 18]",[],"[81, 109]",False
1R0O,"[18, 18]",[],"[86, 109]",False
1R2Y,"[12, 12]",[],[274],True
1R2Z,[12],[12],[274],False
1R49,"[22, 22]",[],[592],True
1R4I,"[18, 18]",[],[105],True
1R4O,[19],[],[92],False
1R4R,"[19, 19]",[],[92],False
1R71,[],"[17, 17]",[178],False
1R7M,"[25, 25]",[],[235],False
1R8D,"[26, 26]",[],[109],False
1R8E,[23],[],[278],False
1RAM,[20],[],[273],True
1RB8,[4],[],"[431, 187, 37]",False
1RBJ,[4],[],[124],False
1RC8,[5],[],[301],False
1RCN,[4],[],[124],False
1RCS,[20],[],[105],True
1REP,"[22, 22]",[],[251],False
1RFF,[4],[],"[485, 8]",False
1RFI,[4],[],"[485, 5]",False
1RG1,[4],[],[485],False
1RG2,[4],[],[485],False
1RGT,[4],[],[485],False
1RGU,[4],[],[485],False
1RH0,[3],[],[485],False
1RH6,"[15, 15]",[],[55],True
1RIO,"[27, 27]",[],"[73, 98]",True
1RM1,"[18, 18]",[],"[240, 122, 286]",True
1RNB,[2],[],[110],True
1RPE,"[20, 20]",[],[69],False
1RPZ,[5],[],[301],False
1RR8,"[22, 22]",[],[565],True
1RRC,[3],[],[301],False
1RRJ,"[22, 22]",[],[565],True
1RRQ,"[11, 11]",[],[369],False
1RRS,[11],[],"[11, 369]",False
1RTA,[4],[],[124],False
1RTD,"[27, 21]",[],"[554, 440]",False
1RUN,"[14, 17]",[],[209],False
1RUO,"[14, 17]",[],[209],False
1RV5,[11],[],[244],False
1RVA,[11],[],[244],False
1RVB,[11],[],[244],False
1RVC,"[6, 5]",[],[244],False
1RXV,[9],[],[336],False
1RXW,"[8, 9]",[],[336],False
1RYR,"[13, 16]",[],[352],False
1RYS,"[13, 18]",[],[352],False
1RZ9,"[26, 26]",[],[197],True
1RZR,"[16, 16]",[],"[332, 332, 88]",True
1S0M,"[13, 16]",[],[352],False
1S0N,"[13, 18]",[],[352],False
1S0O,"[13, 17]",[],[352],False
1S10,"[13, 17]",[],[352],False
1S32,[146],[],"[135, 102, 119, 122]",True
1S40,[11],[],[199],False
1S6M,[25],[],[293],False
1S97,"[13, 18]",[],[352],False
1S9F,"[13, 18]",[],[352],False
1S9K,"[20, 20]",[],"[280, 53, 52]",False
1SA3,[10],[],[262],True
1SAX,"[25, 25]",[],[123],False
1SFU,[7],[],[75],False
1SKM,[13],[],"[13, 327]",False
1SKN,"[15, 15]",[],[92],False
1SKR,"[22, 26]",[],"[698, 108]",False
1SKS,"[21, 25]",[],"[698, 108]",False
1SKW,"[21, 25]",[],"[698, 108]",False
1SL0,"[21, 25]",[],"[698, 108]",False
1SL1,"[22, 25]",[],"[698, 108]",False
1SL2,"[22, 25]",[],"[698, 108]",False
1SRS,[19],[19],[92],False
1SSP,[11],[],"[10, 223]",False
1STX,"[6, 5]",[],[244],False
1SUZ,[11],[],[244],False
1SVC,[19],[],[365],False
1SX5,"[6, 5]",[],[244],False
1SX8,[11],[],[244],False
1SXP,"[13, 13]",[],[351],False
1SXQ,"[13, 13]",[],[351],True
1T03,"[27, 21]",[],"[558, 437, 211, 225]",False
1T05,"[27, 21]",[],"[558, 437]",False
1T2K,"[31, 31]",[],"[112, 62, 61]",False
1T2S,[5],[],[123],False
1T2T,"[21, 21]",[],[116],False
1T38,"[13, 13]",[],[188],True
1T39,"[13, 13]",[],[188],False
1T3N,"[14, 13]",[],[388],False
1T7P,"[11, 13]",[],"[698, 108]",False
1T8E,"[22, 26]",[],"[698, 108]",False
1T9I,"[24, 24]",[],[163],True
1T9J,"[24, 24]",[],[163],True
1TAU,"[8, 8]",[],[832],True
1TC3,"[21, 20]",[],[51],False
1TDZ,"[14, 14]",[],[272],False
1TF3,"[15, 15]",[],[92],True
1TF6,"[31, 31]",[],[190],False
1TGH,[12],[],[185],True
1TK0,"[22, 26]",[],"[698, 108]",False
1TK5,"[22, 26]",[],"[698, 108]",False
1TK8,"[22, 26]",[],"[698, 108]",False
1TKD,"[22, 26]",[],"[698, 108]",False
1TN9,"[13, 13]",[],[69],True
1TQE,"[17, 17]",[],"[93, 26]",False
1TRO,[19],[],[108],False
1TRR,[16],[],[107],True
1TSR,"[21, 21]",[],[219],False
1TTU,"[15, 15]",[],[477],False
1TUP,"[21, 21]",[],[219],False
1TW8,[13],[],[257],False
1TX3,[13],[],[257],False
1U0C,"[24, 24]",[],[163],True
1U0D,"[24, 24]",[],[163],True
1U1K,[11],[],[196],False
1U1L,[11],[],[196],False
1U1M,[11],[],[196],False
1U1N,[11],[],[196],False
1U1O,[],[],"[11, 196]",False
1U1P,[12],[],[196],False
1U1Q,[],[],"[11, 196]",False
1U1R,[11],[],[196],False
1U35,[146],[],"[136, 103, 120, 126]",True
1U45,"[10, 15]",[],[580],False
1U47,"[11, 15]",[],[580],False
1U48,"[12, 15]",[],[580],False
1U49,"[11, 15]",[],[580],False
1U4B,"[13, 15]",[],[580],False
1U78,"[26, 26]",[],[141],False
1U8R,"[33, 33]",[],[230],False
1UA0,"[10, 14]",[],[580],False
1UA1,"[11, 14]",[],[580],False
1UAA,[16],[],[673],False
1UBD,"[20, 20]",[],[124],True
1UNJ,[],[6],[11],True
1UNM,[],[6],[11],True
1UUT,[15],[],[197],False
1V14,[8],[],[134],True
1V15,[8],[],[134],True
1VAS,"[13, 13]",[],[137],False
1VFC,"[13, 13]",[],[63],True
1VKX,"[12, 12]",[],"[273, 312]",False
1VOL,"[16, 16]",[],"[204, 200]",True
1VPW,[17],[],[340],False
1VRL,[11],[],"[11, 369]",False
1VRR,[14],[],[203],True
1VS2,[8],[],[8],True
1VTG,[6],[],[8],True
1VTL,"[14, 14]",[],[186],True
1VTN,"[13, 13]",[],[102],True
1VTO,"[14, 14]",[],[190],True
1W0T,"[19, 19]",[],[53],False
1W0U,"[17, 17]",[],[55],True
1W36,[43],[],"[1180, 1122, 608]",False
1W7A,"[30, 30]",[],[800],False
1WB9,"[18, 17]",[],[800],False
1WBB,"[18, 17]",[],[800],False
1WBD,"[18, 17]",[],[800],False
1WD0,[10],[],[66],True
1WD1,[10],[],[66],True
1WET,[17],[],[340],False
1WTB,[4],[],[79],False
1WTE,"[13, 13]",[],[272],True
1WTO,[8],[],[66],True
1WTP,[],[8],[66],True
1WTQ,[8],[],[66],True
1WTR,[8],[],[66],True
1WTV,[8],[],[66],True
1WTW,[8],[],[66],True
1WTX,[8],[],[66],True
1WVL,[10],[],[80],True
1X0F,[4],[],[79],False
1X9M,"[22, 26]",[],"[698, 108]",False
1X9S,"[22, 26]",[],"[698, 108]",False
1X9W,"[22, 26]",[],"[698, 108]",False
1XBR,[24],[],[184],True
1XC8,"[14, 14]",[],[271],False
1XC9,"[10, 15]",[],[580],False
1XF2,[3],[],"[214, 230]",False
1XHU,"[7, 6]",[],[257],False
1XHV,"[7, 6]",[],[257],False
1XHZ,[5],[],[575],False
1XI1,[5],[],[575],False
1XJV,[10],[],[294],False
1XNS,"[35, 34]",[],[324],False
1XO0,"[35, 35]",[],[324],False
1XPX,"[10, 10]",[],[163],True
1XS9,"[20, 20]",[],"[132, 84]",True
1XSD,[16],[],[126],True
1XVK,[8],[],[8],True
1XVN,[8],[],[8],True
1XVR,[6],[],[8],True
1XYI,[8],[],[66],True
1Y6F,[13],[],"[13, 403]",False
1Y6G,[12],[13],[403],False
1Y8Z,[9],[13],[402],False
1YA6,"[12, 12]",[],[403],False
1YF3,"[13, 13]",[],[259],False
