pdbid,dna,U,protein,duplex,max p,max U,min dna
1BDT,"[22, 22]",[],[53],False,53,0,22
1BDV,"[22, 22]",[],[53],False,53,0,22
1BDX,[16],[],[203],True,203,0,16
1BGB,[11],[],[244],False,244,0,11
1BHM,[12],[],[213],True,213,0,12
1BJ6,[5],[],[42],False,42,0,5
1BL0,"[24, 24]",[],[129],False,129,0,24
1BNK,[13],[],"[13, 216]",False,216,0,13
1BNZ,[8],[],[64],True,64,0,8
1BP7,"[24, 24]",[],[152],True,152,0,24
1BRN,[4],[],[110],False,110,0,4
1BSS,[11],[],[244],False,244,0,11
1BVO,"[15, 15]",[],[175],False,175,0,15
1BY4,"[16, 15]",[],[82],False,82,0,15
1C0W,"[21, 21]",[],[225],False,225,0,21
1C7U,[20],[],[85],True,85,0,20
1C8C,[8],[],[64],False,64,0,8
1C9B,"[18, 18]",[],"[207, 180]",False,207,0,18
1CA5,[8],[],[66],True,66,0,8
1CA6,[8],[],[66],False,66,0,8
1CDW,"[16, 16]",[],[179],True,179,0,16
1CF7,"[16, 16]",[],"[76, 95]",False,95,0,16
1CGP,"[18, 13]",[],[205],False,205,0,13
1CIT,"[16, 16]",[],[89],True,89,0,16
1CJG,[22],[],[62],True,62,0,22
1CKQ,[13],[],[276],False,276,0,13
1CL8,[13],[],[276],False,276,0,13
1CMA,"[10, 9]",[],[104],False,104,0,9
1CO0,"[20, 20]",[],[107],True,107,0,20
1CQT,"[15, 15]",[],"[163, 44]",False,163,0,15
1CYQ,[21],[],[162],False,162,0,21
1CZ0,[21],[],[162],False,162,0,21
1D02,[10],[],[202],True,202,0,10
1D0E,[11],[],[259],False,259,0,11
1D1U,"[6, 10]",[],[255],False,255,0,6
1D2I,[16],[],[223],False,223,0,16
1D3U,"[24, 23]",[],"[181, 201]",False,201,0,23
1D5Y,"[21, 21]",[],[292],False,292,0,21
1D66,"[19, 19]",[],[66],True,66,0,19
1DC1,[13],[],[323],False,323,0,13
1DCT,"[18, 18]",[],[324],False,324,0,18
1DDN,"[33, 33]",[],[226],False,226,0,33
1DE8,[11],[],"[11, 276]",False,276,0,11
1DEW,[14],[],"[15, 279]",False,279,0,14
1DFM,[16],[],[223],False,223,0,16
1DGC,[19],[],[62],False,62,0,19
1DH3,[21],[],[55],False,55,0,21
1DIZ,[13],[],"[13, 282]",False,282,0,13
1DMU,[17],[],[299],False,299,0,17
1DNK,"[7, 8]",[],[260],False,260,0,7
1DRG,"[16, 19]",[],[323],False,323,0,16
1DSZ,"[15, 15]",[],"[86, 85]",True,86,0,15
1DU0,"[21, 21]",[],[57],False,57,0,21
1DUX,"[13, 13]",[],[94],True,94,0,13
1E3O,"[11, 11]",[],[160],True,160,0,11
1EA4,"[22, 22]",[],[45],False,45,0,22
1EBM,"[15, 15]",[],[317],True,317,0,15
1ECR,"[16, 16]",[],[309],False,309,0,16
1EFA,[21],[],[333],False,333,0,21
1EGW,"[17, 17]",[],[77],False,77,0,17
1EMJ,[10],[],"[9, 223]",False,223,0,10
1EO3,[11],[],[245],False,245,0,11
1EO4,[11],[],[245],False,245,0,11
1EON,"[11, 11]",[],[245],False,245,0,11
1EOO,[12],[],[245],True,245,0,12
1EOP,[12],[],[245],False,245,0,12
1EQZ,[146],[],"[129, 126, 136, 103]",True,136,0,146
1ERI,[13],[],[276],False,276,0,13
1ESG,"[8, 8]",[],[213],True,213,0,8
1EWN,"[12, 12]",[],[219],False,219,0,12
1EXI,[21],[],[278],False,278,0,21
1EXJ,[21],[],[278],False,278,0,21
1EYG,[35],[],[116],False,116,0,35
1EYU,[13],[],[157],False,157,0,13
1F0O,[13],[],[157],False,157,0,13
1F2I,[14],[],[73],True,73,0,14
1F44,"[16, 19]",[],[324],False,324,0,16
1F4K,"[21, 21]",[],[122],True,122,0,21
1F4R,"[13, 13]",[],[219],False,219,0,13
1F4S,"[10, 10]",[],[65],True,65,0,10
1F5E,"[10, 10]",[],[65],True,65,0,10
1F5T,"[43, 43]",[],[121],False,121,0,43
1F66,[146],[],"[136, 103, 128, 126]",True,136,0,146
1F6O,[13],[],"[13, 219]",False,219,0,13
1FIU,"[4, 7]",[],[286],False,286,0,4
1FJX,[13],[],[327],False,327,0,13
1FLO,"[13, 20]",[],[422],False,422,0,13
1FN7,[15],[],"[15, 317]",False,317,0,15
1FOS,"[20, 20]",[],"[62, 62]",False,62,0,20
1FYM,[12],[],[92],True,92,0,12
1G2D,"[16, 16]",[],[90],False,90,0,16
1G2F,"[16, 16]",[],[90],False,90,0,16
1G38,"[10, 10]",[],[393],True,393,0,10
1G4D,"[16, 16]",[],[69],True,69,0,16
1G9Y,"[24, 24]",[],[152],True,152,0,24
1GAT,"[8, 8]",[],[60],True,60,0,8
1GAU,"[8, 8]",[],[60],True,60,0,8
1GCC,"[11, 11]",[],[63],True,63,0,11
1GD2,[13],[],[70],False,70,0,13
1GJI,"[20, 20]",[],[275],True,275,0,20
1GLU,[19],[],[81],False,81,0,19
1GT0,"[24, 24]",[],"[159, 80]",False,159,0,24
1GTW,"[16, 16]",[],[78],False,78,0,16
1GU4,"[16, 16]",[],[78],False,78,0,16
1GU5,"[16, 16]",[],[78],False,78,0,16
1GXP,"[23, 23]",[],[106],False,106,0,23
1H0M,[18],[],[234],True,234,0,18
1H6F,[24],[],[193],False,193,0,24
1H88,"[26, 26]",[],"[78, 159]",False,159,0,26
1H89,"[26, 26]",[],"[64, 159]",False,159,0,26
1H8A,"[26, 26]",[],"[78, 128]",False,128,0,26
1H9D,"[10, 10]",[],"[134, 134]",True,134,0,10
1H9T,"[19, 19]",[],[243],True,243,0,19
1HAO,[15],[],"[259, 36]",False,259,0,15
1HAP,[15],[],"[36, 259]",False,259,0,15
1HBX,"[26, 26]",[],"[92, 157]",False,157,0,26
1HCQ,"[18, 18]",[],[84],False,84,0,18
1HCR,"[14, 13]",[],[52],False,52,0,13
1HDD,"[21, 21]",[],[61],False,61,0,21
1HF0,"[22, 22]",[],[159],True,159,0,22
1HJB,"[26, 26]",[],"[87, 123]",False,123,0,26
1HJC,"[16, 16]",[],[123],False,123,0,16
1HLO,"[11, 11]",[],[80],True,80,0,11
1HLV,"[21, 21]",[],[131],True,131,0,21
1HLZ,"[20, 20]",[],[94],True,94,0,20
1HRY,"[8, 8]",[],[76],True,76,0,8
1HRZ,"[8, 8]",[],[76],True,76,0,8
1HU0,[15],[],"[324, 15]",False,324,0,15
1HUO,"[11, 7]",[],[335],False,335,0,7
1HUT,[15],[],"[36, 259]",False,259,0,15
1HUZ,"[8, 11]",[],[335],False,335,0,8
1HW2,"[22, 22]",[],[239],False,239,0,22
1HWT,"[20, 20]",[],[81],True,81,0,20
1I3J,"[21, 21]",[],[116],False,116,0,21
1I6J,"[6, 10]",[],[256],False,256,0,6
1IAW,[17],[],[317],False,317,0,17
1IC8,"[21, 21]",[],[194],True,194,0,21
1ID3,[146],[],"[135, 102, 130, 131]",True,135,0,146
1IF1,[26],[],[113],True,113,0,26
1IG4,[12],[],[75],True,75,0,12
1IG7,"[13, 16]",[],[58],False,58,0,13
1IGN,"[19, 19]",[],[246],False,246,0,19
1IJW,"[14, 14]",[],[52],False,52,0,14
1IMH,"[15, 15]",[],[281],False,281,0,15
1IO4,"[26, 26]",[],"[78, 123, 141]",False,141,0,26
1IPP,[21],[],[163],False,163,0,21
1IU3,"[10, 10]",[],[116],True,116,0,10
1IV6,"[13, 13]",[],[70],True,70,0,13
1IXY,[13],[],"[13, 351]",False,351,0,13
1J1V,"[13, 13]",[],[94],True,94,0,13
1J3E,"[10, 10]",[],[115],False,115,0,10
1J46,"[14, 14]",[],[85],True,85,0,14
1J47,"[14, 14]",[],[85],True,85,0,14
1J4W,[29],[],[174],False,174,0,29
1J59,"[14, 17]",[],[209],False,209,0,14
1J5K,[10],[],[89],False,89,0,10
1J5N,"[15, 15]",[],[93],True,93,0,15
1J75,[7],[],[67],False,67,0,7
1JB7,[12],[],"[495, 260]",False,495,0,12
1JE8,[20],[],[82],True,82,0,20
1JFI,"[19, 19]",[],"[98, 179, 185]",True,185,0,19
1JFS,[17],[],[340],False,340,0,17
1JFT,[17],[],[340],False,340,0,17
1JGG,"[10, 10]",[],[60],True,60,0,10
1JH9,[17],[],[340],False,340,0,17
1JJ4,[16],[],[83],True,83,0,16
1JK1,"[11, 11]",[],[90],False,90,0,11
1JK2,"[11, 11]",[],[90],False,90,0,11
1JKO,"[14, 14]",[],[52],False,52,0,14
1JKP,"[14, 14]",[],[52],False,52,0,14
1JKQ,"[14, 14]",[],[52],False,52,0,14
1JKR,"[14, 14]",[],[52],False,52,0,14
1JMC,[8],[],[246],False,246,0,8
1JNM,[20],[],[62],True,62,0,20
1JT0,[28],[],[194],True,194,0,28
1JWL,"[23, 23]",[],[333],False,333,0,23
1JX4,"[13, 18]",[],[352],False,352,0,13
1K3W,[13],[],"[262, 13]",False,262,0,13
1K6O,"[23, 23]",[],"[93, 103]",True,103,0,23
1K78,"[27, 27]",[],"[149, 110]",False,149,0,27
1K79,"[15, 15]",[],[110],False,110,0,15
1K7A,"[15, 15]",[],[110],False,110,0,15
1K82,[13],[],"[13, 268]",False,268,0,13
1K8G,[6],[],[320],False,320,0,6
1KB2,"[18, 18]",[],[110],True,110,0,18
1KB4,"[18, 18]",[],[110],True,110,0,18
1KB6,"[18, 18]",[],[110],True,110,0,18
1KBU,"[34, 34]",[],[349],True,349,0,34
1KC6,[12],[],[257],True,257,0,12
1KEG,[4],[],"[216, 220]",False,220,0,4
1KFV,[13],[],"[13, 271]",False,271,0,13
1KIX,[8],[],[495],False,495,0,8
1KQQ,"[15, 15]",[],[139],True,139,0,15
1KSX,[21],[],[148],False,148,0,21
1KSY,"[21, 21]",[],[154],True,154,0,21
1KU7,"[11, 11]",[],[73],False,73,0,11
1KX3,[146],[],"[135, 102, 128, 125]",True,135,0,146
1KX4,[146],[],"[135, 102, 128, 125]",True,135,0,146
1KX5,"[147, 147]",[],"[102, 135, 128, 125]",True,135,0,147
1L1M,"[23, 23]",[],[62],True,62,0,23
1L1T,[16],[],"[16, 274]",False,274,0,16
1L1Z,[16],[],"[16, 274]",False,274,0,16
1L2C,[16],[],"[16, 274]",False,274,0,16
1L2D,[16],[],"[16, 274]",False,274,0,16
1L3L,[20],[],[234],True,234,0,20
1LAT,[19],[],[82],False,82,0,19
1LB2,"[20, 24]",[],"[209, 84]",False,209,0,20
1LBG,[21],[],[360],False,360,0,21
1LCC,"[11, 11]",[],[51],True,51,0,11
1LCD,"[11, 11]",[],[51],True,51,0,11
1LE5,"[12, 12]",[],"[274, 313]",False,313,0,12
1LE8,"[20, 20]",[],"[53, 83]",False,83,0,20
1LE9,"[12, 12]",[],"[274, 313]",False,313,0,12
1LFU,"[14, 14]",[],[82],True,82,0,14
1LLI,"[20, 20]",[],[92],False,92,0,20
1LLM,[13],[],[88],False,88,0,13
1LMB,"[20, 20]",[],[92],False,92,0,20
1LO1,"[13, 13]",[],[98],True,98,0,13
1LQ1,"[16, 16]",[],[120],False,120,0,16
1LRR,"[12, 12]",[],[131],True,131,0,12
1LWS,"[37, 37]",[],[454],False,454,0,37
1LWT,"[37, 37]",[],[454],False,454,0,37
1LWV,[15],[],"[15, 324]",False,324,0,15
1LWW,[15],[],"[15, 324]",False,324,0,15
1LWY,[15],[],"[15, 324]",False,324,0,15
1M07,[4],[],[111],False,111,0,4
1M0E,"[12, 12]",[],[327],True,327,0,12
1M18,[146],[],"[102, 129, 125, 135]",True,135,0,146
1M19,[146],[],"[135, 102, 129, 125]",True,135,0,146
1M1A,[146],[],"[135, 102, 129, 125]",True,135,0,146
1M3Q,[15],[],"[15, 317]",False,317,0,15
1M5R,[13],[],"[13, 351]",False,351,0,13
1M5X,"[24, 24]",[],[170],True,170,0,24
1MA7,"[34, 34]",[],[349],True,349,0,34
1MDM,"[26, 26]",[],"[149, 161]",False,161,0,26
1MDY,[14],[],"[68, 62]",True,68,0,14
1MEY,"[13, 13]",[],[87],False,87,0,13
1MHD,"[13, 14]",[],[132],False,132,0,13
1MHT,"[12, 13]",[],[327],False,327,0,12
1MJ2,[19],[],[104],False,104,0,19
1MJM,[10],[],[104],True,104,0,10
1MJO,[19],[],[104],False,104,0,19
1MJP,"[10, 9]",[],[104],False,104,0,9
1MJQ,[19],[],[104],False,104,0,19
1MM8,"[20, 20]",[],[481],True,481,0,20
1MNM,"[26, 26]",[],"[100, 87]",False,100,0,26
1MNN,"[14, 14]",[],[340],False,340,0,14
1MOW,"[23, 23]",[],[260],True,260,0,23
1MSE,"[16, 16]",[],[105],True,105,0,16
1MSF,"[16, 16]",[],[105],True,105,0,16
1MUH,"[20, 20]",[],[481],True,481,0,20
1MUS,"[20, 20]",[],[477],True,477,0,20
1N39,[15],[],"[15, 317]",False,317,0,15
1N3A,[15],[],"[15, 317]",False,317,0,15
1N3C,"[15, 15]",[],[317],True,317,0,15
1N3E,"[14, 10]",[],[163],False,163,0,10
1N3F,"[14, 10]",[],[163],False,163,0,10
1N48,[13],[],"[16, 352]",False,352,0,13
1N4L,"[16, 16]",[],[255],True,255,0,16
1N56,[14],[],"[17, 352]",False,352,0,14
1N6J,"[14, 14]",[],"[93, 35]",True,93,0,14
1NFK,[11],[],[325],False,325,0,11
1NGM,"[19, 19]",[],"[180, 72]",True,180,0,19
1NK2,"[16, 16]",[],[77],True,77,0,16
1NK3,"[16, 16]",[],[77],True,77,0,16
1NKP,[19],[],"[88, 83]",False,88,0,19
1NLW,[18],[],"[80, 76]",True,80,0,18
1NNJ,[14],[],"[14, 271]",False,271,0,14
1NOP,[6],[],"[485, 8]",False,485,0,6
1NVP,"[17, 17]",[],"[181, 57, 76, 108]",True,181,0,17
1NWQ,"[21, 21]",[],[62],False,62,0,21
1O3Q,"[11, 15]",[],[200],False,200,0,11
1O3R,"[11, 15]",[],[200],False,200,0,11
1O3S,"[11, 15]",[],[200],False,200,0,11
1O3T,"[14, 17]",[],[200],False,200,0,14
1O4X,"[19, 19]",[],"[167, 88]",True,167,0,19
1OCT,"[15, 15]",[],[156],False,156,0,15
1ODG,[12],[],[134],False,134,0,12
1ODH,"[13, 13]",[],[174],True,174,0,13
1OE4,[12],[],"[247, 12]",False,247,0,12
1OE5,[12],[],"[247, 13]",False,247,0,12
1OE6,[12],[],"[247, 12]",False,247,0,12
1OJ8,[4],[],[105],False,105,0,4
1OMH,[25],[],[293],False,293,0,25
1ORN,[11],[],"[11, 226]",False,226,0,11
1ORP,[11],[],"[11, 226]",False,226,0,11
1OSB,[25],[],[293],False,293,0,25
1OSL,[18],[],[62],True,62,0,18
1OTC,[12],[],"[495, 260]",False,495,0,12
1OWR,"[15, 15]",[],[284],False,284,0,15
1OZJ,"[15, 15]",[],[144],True,144,0,15
1P34,[146],[],"[135, 102, 129, 125]",True,135,0,146
1P3A,[146],[],"[135, 102, 129, 125]",True,135,0,146
1P3B,[146],[],"[135, 102, 129, 125]",True,135,0,146
1P3F,[146],[],"[135, 102, 129, 125]",True,135,0,146
1P3G,[146],[],"[135, 102, 129, 125]",True,135,0,146
1P3I,[146],[],"[135, 129, 102, 125]",True,135,0,146
1P3K,[146],[],"[102, 129, 135, 125]",True,135,0,146
1P3L,[146],[],"[135, 102, 129, 125]",True,135,0,146
1P3M,[146],[],"[135, 102, 129, 125]",True,135,0,146
1P3O,[146],[],"[135, 102, 129, 125]",True,135,0,146
1P3P,[146],[],"[125, 135, 102, 129]",True,135,0,146
1P47,"[22, 22]",[],[87],False,87,0,22
1P51,[19],[],[94],False,94,0,19
1P71,[21],[],[94],False,94,0,21
1P78,[21],[],[94],False,94,0,21
1P7D,"[13, 26]",[],[283],False,283,0,13
1P7H,"[15, 15]",[],[286],False,286,0,15
1PA6,"[12, 12]",[],"[460, 216]",False,460,0,12
1PAR,"[22, 22]",[],[53],False,53,0,22
1PDN,"[15, 15]",[],[128],False,128,0,15
1PER,"[20, 20]",[],[69],False,69,0,20
1PH1,[13],[],"[461, 217]",False,461,0,13
1PH2,"[13, 9]",[],"[459, 216]",False,459,0,9
1PH3,"[13, 12]",[],"[460, 216]",False,460,0,12
1PH4,"[13, 12]",[],"[460, 216]",False,460,0,12
1PH5,[13],[],"[11, 459, 216]",False,459,0,13
1PH6,"[13, 11]",[],"[461, 217]",False,461,0,11
1PH7,[13],[],"[11, 460, 216]",False,460,0,13
1PH8,"[13, 12]",[],"[460, 216]",False,460,0,12
1PH9,"[13, 12]",[],"[460, 216]",False,460,0,12
1PHJ,[13],[],"[12, 461, 216]",False,461,0,13
1PJI,[14],[],"[14, 271]",False,271,0,14
1PJJ,[14],[],"[14, 271]",False,271,0,14
1PM5,[14],[],"[14, 271]",False,271,0,14
1PNR,[17],[],[340],False,340,0,17
1PP7,"[13, 13]",[],[131],False,131,0,13
1PP8,"[12, 12]",[],[132],False,132,0,12
1PT3,[8],[],[128],True,128,0,8
1PUE,"[16, 16]",[],[89],False,89,0,16
1PUF,"[20, 20]",[],"[77, 73]",False,77,0,20
1PVI,[13],[],[157],False,157,0,13
1PVP,"[34, 34]",[],[349],True,349,0,34
1PVQ,"[34, 34]",[],[349],True,349,0,34
1PVR,"[34, 34]",[],[349],True,349,0,34
1PYI,[14],[],[96],True,96,0,14
1PZU,"[14, 14]",[],[301],False,301,0,14
1Q0T,[12],[],[259],True,259,0,12
1Q3F,[10],[],"[9, 223]",False,223,0,10
1QAI,[8],[],[265],True,265,0,8
1QAJ,[8],[],[259],True,259,0,8
1QBJ,[7],[],[81],False,81,0,7
1QN3,"[14, 14]",[],[200],True,200,0,14
1QN4,"[14, 14]",[],[200],True,200,0,14
1QN5,"[14, 14]",[],[200],True,200,0,14
1QN6,"[14, 14]",[],[200],True,200,0,14
1QN7,"[14, 14]",[],[200],True,200,0,14
1QN8,"[14, 14]",[],[200],True,200,0,14
1QN9,"[14, 14]",[],[200],True,200,0,14
1QNA,"[14, 14]",[],[200],True,200,0,14
1QNB,"[14, 14]",[],[200],True,200,0,14
1QNC,"[14, 14]",[],[200],True,200,0,14
1QNE,"[14, 14]",[],[200],True,200,0,14
1QP0,[17],[],[340],False,340,0,17
1QP4,[17],[],[340],False,340,0,17
1QP7,[17],[],[340],False,340,0,17
1QP9,"[20, 20]",[],[76],True,76,0,20
1QPI,"[15, 15]",[],[203],True,203,0,15
1QPS,"[5, 8]",[],[261],False,261,0,5
1QPZ,[17],[],[340],False,340,0,17
1QQA,[17],[],[340],False,340,0,17
1QQB,[17],[],[340],False,340,0,17
1QRH,[13],[],[261],False,261,0,13
1QRI,[13],[],[261],False,261,0,13
1QRV,[10],[],[73],True,73,0,10
1QX0,[25],[],[293],False,293,0,25
1QZG,[5],[],[187],False,187,0,5
1QZH,[6],[],[187],False,187,0,6
1R0N,"[18, 18]",[],"[81, 109]",False,109,0,18
1R0O,"[18, 18]",[],"[86, 109]",False,109,0,18
1R2Y,"[12, 12]",[],[274],True,274,0,12
1R4I,"[18, 18]",[],[105],True,105,0,18
1R4O,[19],[],[92],False,92,0,19
1R4R,"[19, 19]",[],[92],False,92,0,19
1R7M,"[25, 25]",[],[235],False,235,0,25
1R8D,"[26, 26]",[],[109],False,109,0,26
1R8E,[23],[],[278],False,278,0,23
1RAM,[20],[],[273],True,273,0,20
1RB8,[4],[],"[431, 187, 37]",False,431,0,4
1RBJ,[4],[],[124],False,124,0,4
1RC8,[5],[],[301],False,301,0,5
1RCN,[4],[],[124],False,124,0,4
1RCS,[20],[],[105],True,105,0,20
1REP,"[22, 22]",[],[251],False,251,0,22
1RFF,[4],[],"[485, 8]",False,485,0,4
1RFI,[4],[],"[485, 5]",False,485,0,4
1RG1,[4],[],[485],False,485,0,4
1RG2,[4],[],[485],False,485,0,4
1RGT,[4],[],[485],False,485,0,4
1RGU,[4],[],[485],False,485,0,4
1RH6,"[15, 15]",[],[55],True,55,0,15
1RIO,"[27, 27]",[],"[73, 98]",True,98,0,27
1RM1,"[18, 18]",[],"[240, 122, 286]",True,286,0,18
1RPE,"[20, 20]",[],[69],False,69,0,20
1RPZ,[5],[],[301],False,301,0,5
1RRQ,"[11, 11]",[],[369],False,369,0,11
1RRS,[11],[],"[11, 369]",False,369,0,11
1RTA,[4],[],[124],False,124,0,4
1RUN,"[14, 17]",[],[209],False,209,0,14
1RUO,"[14, 17]",[],[209],False,209,0,14
1RV5,[11],[],[244],False,244,0,11
1RVA,[11],[],[244],False,244,0,11
1RVB,[11],[],[244],False,244,0,11
1RVC,"[6, 5]",[],[244],False,244,0,5
1RXV,[9],[],[336],False,336,0,9
1RXW,"[8, 9]",[],[336],False,336,0,8
1RYR,"[13, 16]",[],[352],False,352,0,13
1RYS,"[13, 18]",[],[352],False,352,0,13
1RZ9,"[26, 26]",[],[197],True,197,0,26
1RZR,"[16, 16]",[],"[332, 332, 88]",True,332,0,16
1S0M,"[13, 16]",[],[352],False,352,0,13
1S0N,"[13, 18]",[],[352],False,352,0,13
1S0O,"[13, 17]",[],[352],False,352,0,13
1S10,"[13, 17]",[],[352],False,352,0,13
1S32,[146],[],"[135, 102, 119, 122]",True,135,0,146
1S40,[11],[],[199],False,199,0,11
1S6M,[25],[],[293],False,293,0,25
1S97,"[13, 18]",[],[352],False,352,0,13
1S9F,"[13, 18]",[],[352],False,352,0,13
1S9K,"[20, 20]",[],"[280, 53, 52]",False,280,0,20
1SA3,[10],[],[262],True,262,0,10
1SAX,"[25, 25]",[],[123],False,123,0,25
1SFU,[7],[],[75],False,75,0,7
1SKM,[13],[],"[13, 327]",False,327,0,13
1SKN,"[15, 15]",[],[92],False,92,0,15
1SSP,[11],[],"[10, 223]",False,223,0,11
1STX,"[6, 5]",[],[244],False,244,0,5
1SUZ,[11],[],[244],False,244,0,11
1SVC,[19],[],[365],False,365,0,19
1SX5,"[6, 5]",[],[244],False,244,0,5
1SX8,[11],[],[244],False,244,0,11
1SXP,"[13, 13]",[],[351],False,351,0,13
1SXQ,"[13, 13]",[],[351],True,351,0,13
1T2K,"[31, 31]",[],"[112, 62, 61]",False,112,0,31
1T2S,[5],[],[123],False,123,0,5
1T2T,"[21, 21]",[],[116],False,116,0,21
1T38,"[13, 13]",[],[188],True,188,0,13
1T39,"[13, 13]",[],[188],False,188,0,13
1T3N,"[14, 13]",[],[388],False,388,0,13
1T9I,"[24, 24]",[],[163],True,163,0,24
1T9J,"[24, 24]",[],[163],True,163,0,24
1TC3,"[21, 20]",[],[51],False,51,0,20
1TDZ,"[14, 14]",[],[272],False,272,0,14
1TF3,"[15, 15]",[],[92],True,92,0,15
1TF6,"[31, 31]",[],[190],False,190,0,31
1TGH,[12],[],[185],True,185,0,12
1TN9,"[13, 13]",[],[69],True,69,0,13
1TQE,"[17, 17]",[],"[93, 26]",False,93,0,17
1TRO,[19],[],[108],False,108,0,19
1TRR,[16],[],[107],True,107,0,16
1TSR,"[21, 21]",[],[219],False,219,0,21
1TTU,"[15, 15]",[],[477],False,477,0,15
1TUP,"[21, 21]",[],[219],False,219,0,21
1TW8,[13],[],[257],False,257,0,13
1TX3,[13],[],[257],False,257,0,13
1U0C,"[24, 24]",[],[163],True,163,0,24
1U0D,"[24, 24]",[],[163],True,163,0,24
1U1K,[11],[],[196],False,196,0,11
1U1L,[11],[],[196],False,196,0,11
1U1M,[11],[],[196],False,196,0,11
1U1N,[11],[],[196],False,196,0,11
1U1P,[12],[],[196],False,196,0,12
1U1R,[11],[],[196],False,196,0,11
1U35,[146],[],"[136, 103, 120, 126]",True,136,0,146
1U78,"[26, 26]",[],[141],False,141,0,26
1U8R,"[33, 33]",[],[230],False,230,0,33
1UBD,"[20, 20]",[],[124],True,124,0,20
1UUT,[15],[],[197],False,197,0,15
1V14,[8],[],[134],True,134,0,8
1V15,[8],[],[134],True,134,0,8
1VAS,"[13, 13]",[],[137],False,137,0,13
1VFC,"[13, 13]",[],[63],True,63,0,13
1VKX,"[12, 12]",[],"[273, 312]",False,312,0,12
1VOL,"[16, 16]",[],"[204, 200]",True,204,0,16
1VPW,[17],[],[340],False,340,0,17
1VRL,[11],[],"[11, 369]",False,369,0,11
1VRR,[14],[],[203],True,203,0,14
1VTL,"[14, 14]",[],[186],True,186,0,14
1VTN,"[13, 13]",[],[102],True,102,0,13
1VTO,"[14, 14]",[],[190],True,190,0,14
1W0T,"[19, 19]",[],[53],False,53,0,19
1W0U,"[17, 17]",[],[55],True,55,0,17
1WD0,[10],[],[66],True,66,0,10
1WD1,[10],[],[66],True,66,0,10
1WET,[17],[],[340],False,340,0,17
1WTB,[4],[],[79],False,79,0,4
1WTE,"[13, 13]",[],[272],True,272,0,13
1WTO,[8],[],[66],True,66,0,8
1WTQ,[8],[],[66],True,66,0,8
1WTR,[8],[],[66],True,66,0,8
1WTV,[8],[],[66],True,66,0,8
1WTW,[8],[],[66],True,66,0,8
1WTX,[8],[],[66],True,66,0,8
1WVL,[10],[],[80],True,80,0,10
1X0F,[4],[],[79],False,79,0,4
1XBR,[24],[],[184],True,184,0,24
1XC8,"[14, 14]",[],[271],False,271,0,14
1XHU,"[7, 6]",[],[257],False,257,0,6
1XHV,"[7, 6]",[],[257],False,257,0,6
1XJV,[10],[],[294],False,294,0,10
1XNS,"[35, 34]",[],[324],False,324,0,34
1XO0,"[35, 35]",[],[324],False,324,0,35
1XPX,"[10, 10]",[],[163],True,163,0,10
1XS9,"[20, 20]",[],"[132, 84]",True,132,0,20
1XSD,[16],[],[126],True,126,0,16
1XYI,[8],[],[66],True,66,0,8
1Y6F,[13],[],"[13, 403]",False,403,0,13
1YA6,"[12, 12]",[],[403],False,403,0,12
1YF3,"[13, 13]",[],[259],False,259,0,13
1YFH,"[16, 16]",[],[179],False,179,0,16
1YFI,[10],[],[262],True,262,0,10
